X,CH1,CH2,CH4,Start,Increment,
Sequence,Volt,Volt,Volt,-2.956000e-02,2.000000e-06
0,-8.00e-02,2.08e-02,-4.80e-03,
1,-8.00e-02,2.00e-02,-3.80e-03,
2,-8.00e-02,2.00e-02,-4.20e-03,
3,-8.00e-02,1.84e-02,-4.00e-03,
4,-8.00e-02,2.00e-02,-4.20e-03,
5,-8.00e-02,2.08e-02,-4.20e-03,
6,-8.00e-02,1.84e-02,-4.20e-03,
7,-8.00e-02,2.00e-02,-3.80e-03,
8,-8.00e-02,1.84e-02,-3.80e-03,
9,-8.00e-02,2.00e-02,-4.00e-03,
10,-8.00e-02,1.84e-02,-3.80e-03,
11,8.00e-02,1.84e-02,-4.20e-03,
12,8.00e-02,1.84e-02,-4.20e-03,
13,8.00e-02,1.84e-02,-3.80e-03,
14,8.00e-02,1.76e-02,-4.00e-03,
15,8.00e-02,1.84e-02,-4.80e-03,
16,8.00e-02,1.84e-02,-3.60e-03,
17,8.00e-02,1.84e-02,-3.80e-03,
18,8.00e-02,1.76e-02,-4.80e-03,
19,8.00e-02,2.00e-02,-4.80e-03,
20,8.00e-02,1.84e-02,-4.80e-03,
21,8.00e-02,1.84e-02,-3.20e-03,
22,8.00e-02,1.76e-02,-4.20e-03,
23,8.00e-02,2.00e-02,-4.20e-03,
24,8.00e-02,2.00e-02,-4.20e-03,
25,8.00e-02,1.84e-02,-4.00e-03,
26,8.00e-02,2.08e-02,-3.80e-03,
27,8.00e-02,2.00e-02,-4.80e-03,
28,8.00e-02,2.08e-02,-3.60e-03,
29,1.60e-01,1.84e-02,-4.20e-03,
30,1.60e-01,2.00e-02,-4.20e-03,
31,1.60e-01,1.84e-02,-3.60e-03,
32,1.60e-01,2.08e-02,-4.80e-03,
33,1.60e-01,2.08e-02,-3.80e-03,
34,1.60e-01,2.00e-02,-3.80e-03,
35,1.60e-01,2.00e-02,-4.40e-03,
36,1.60e-01,1.76e-02,-3.20e-03,
37,1.60e-01,1.84e-02,-4.40e-03,
38,1.60e-01,1.84e-02,-3.80e-03,
39,1.60e-01,1.84e-02,-3.60e-03,
40,1.60e-01,2.08e-02,-5.20e-03,
41,1.60e-01,1.84e-02,-4.00e-03,
42,1.60e-01,2.00e-02,-3.60e-03,
43,1.60e-01,1.84e-02,-4.20e-03,
44,1.60e-01,1.76e-02,-3.80e-03,
45,1.60e-01,1.84e-02,-4.40e-03,
46,1.60e-01,1.84e-02,-3.80e-03,
47,1.60e-01,2.00e-02,-4.20e-03,
48,3.20e-01,2.00e-02,-3.80e-03,
49,3.20e-01,2.00e-02,-4.80e-03,
50,3.20e-01,2.00e-02,-4.80e-03,
51,3.20e-01,2.00e-02,-4.80e-03,
52,3.20e-01,1.76e-02,-3.60e-03,
53,3.20e-01,2.00e-02,-5.20e-03,
54,3.20e-01,2.08e-02,-5.20e-03,
