X,CH1,CH2,Start,Increment
Sequence,Volt,Volt,-0.0115600000,0.0000010000
0,1.120000,0.000800,,
1,1.120000,-0.001600,,
2,1.120000,-0.000800,,
3,1.120000,0.001600,,
4,1.120000,0.001600,,
5,1.120000,-0.000800,,
6,1.120000,-0.001600,,
7,1.120000,-0.000800,,
8,1.120000,-0.001600,,
9,1.120000,-0.001600,,
10,1.040000,-0.000800,,
11,1.120000,0.000800,,
12,1.040000,0.000800,,
13,1.040000,-0.000800,,
14,1.040000,0.000800,,
15,1.040000,-0.001600,,
16,1.040000,0.000800,,
17,1.040000,-0.000800,,
18,1.040000,-0.001600,,
19,1.040000,-0.000800,,
20,1.040000,0.000800,,
21,1.040000,-0.000800,,
22,1.040000,-0.002400,,
23,1.040000,-0.000800,,
24,1.040000,0.001600,,
25,1.040000,0.000800,,
26,1.040000,0.000800,,
27,1.040000,-0.001600,,
28,1.040000,0.000800,,
29,1.040000,-0.001600,,
30,1.040000,-0.001600,,
31,1.040000,-0.000800,,
32,1.040000,0.000800,,
33,1.040000,-0.000800,,
34,1.040000,-0.002400,,
35,1.040000,-0.000800,,
36,1.040000,0.000800,,
37,1.040000,-0.000800,,
38,1.040000,-0.000800,,
39,1.040000,-0.000800,,
40,1.040000,-0.000800,,
41,1.040000,-0.001600,,
42,1.040000,-0.002400,,
43,1.040000,-0.004000,,
44,1.040000,-0.001600,,
45,1.040000,-0.000800,,
46,1.040000,-0.002400,,
47,1.040000,-0.002400,,
48,1.040000,-0.001600,,
49,1.040000,-0.000800,,
50,1.040000,-0.002400,,
51,1.040000,-0.002400,,
52,1.040000,-0.000800,,
53,1.040000,0.000800,,
54,1.040000,0.000800,,
55,1.040000,-0.001600,,
56,1.040000,-0.000800,,
57,1.040000,-0.000800,,
58,1.040000,-0.002400,,
59,1.040000,-0.001600,,
60,1.040000,-0.000800,,
61,1.040000,-0.000800,,
62,1.040000,-0.001600,,
63,1.040000,-0.001600,,
64,1.040000,-0.002400,,
65,1.040000,-0.001600,,
66,1.040000,-0.000800,,
67,1.040000,-0.001600,,
68,1.040000,-0.001600,,
69,1.040000,-0.001600,,
70,1.040000,-0.004000,,
71,1.040000,-0.002400,,
72,1.040000,-0.002400,,
73,0.880000,-0.001600,,
74,0.880000,-0.001600,,
75,0.880000,-0.001600,,
76,0.880000,-0.001600,,
77,0.880000,-0.002400,,
78,0.880000,-0.000800,,
79,0.880000,-0.001600,,
80,0.880000,-0.000800,,
81,0.880000,-0.000800,,
82,0.880000,-0.002400,,
83,0.880000,-0.004000,,
84,0.880000,-0.002400,,
85,0.880000,-0.001600,,
86,0.880000,-0.004000,,
87,0.880000,-0.001600,,
88,0.880000,-0.000800,,
89,0.880000,-0.001600,,
90,0.880000,-0.002400,,
91,0.880000,-0.004000,,
92,0.880000,-0.001600,,
93,0.880000,-0.001600,,
94,0.880000,-0.001600,,
95,0.880000,-0.002400,,
96,0.880000,-0.002400,,
97,0.880000,-0.001600,,
98,0.880000,-0.004000,,
99,0.880000,-0.002400,,
100,0.880000,-0.001600,,
101,0.880000,-0.000800,,
102,0.880000,-0.002400,,
103,0.880000,-0.004000,,
104,0.880000,-0.002400,,
105,0.880000,-0.002400,,
106,0.880000,-0.001600,,
107,0.880000,-0.004000,,
108,0.880000,-0.001600,,
109,0.880000,-0.002400,,
110,0.880000,-0.004800,,
111,0.880000,-0.004000,,
112,0.880000,-0.002400,,
113,0.880000,-0.001600,,
114,0.880000,-0.002400,,
115,0.880000,-0.001600,,
116,0.880000,-0.004000,,
117,0.880000,-0.004000,,
118,0.880000,-0.001600,,
119,0.880000,-0.001600,,
120,0.880000,-0.002400,,
121,0.880000,-0.002400,,
122,0.880000,-0.001600,,
123,0.880000,-0.002400,,
124,0.880000,-0.002400,,
125,0.880000,-0.002400,,
126,0.800000,-0.002400,,
127,0.880000,-0.001600,,
128,0.880000,-0.004000,,
129,0.880000,-0.004000,,
130,0.880000,-0.004000,,
131,0.800000,-0.004000,,
132,0.800000,-0.004000,,
133,0.800000,-0.004000,,
134,0.800000,-0.002400,,
135,0.800000,-0.004800,,
136,0.800000,-0.002400,,
137,0.800000,-0.002400,,
138,0.800000,-0.004000,,
139,0.800000,-0.002400,,
140,0.800000,-0.002400,,
141,0.800000,-0.001600,,
142,0.800000,-0.004800,,
143,0.800000,-0.004000,,
144,0.800000,-0.004000,,
145,0.800000,-0.001600,,
146,0.800000,-0.002400,,
147,0.800000,-0.004800,,
148,0.800000,-0.002400,,
149,0.800000,-0.004000,,
150,0.800000,-0.004800,,
151,0.800000,-0.004800,,
152,0.800000,-0.001600,,
153,0.800000,-0.004000,,
154,0.800000,-0.004800,,
155,0.800000,-0.004000,,
156,0.800000,-0.004000,,
157,0.800000,-0.004000,,
158,0.800000,-0.001600,,
159,0.800000,-0.002400,,
160,0.800000,-0.006400,,
161,0.800000,-0.004000,,
162,0.800000,-0.002400,,
