X,CH1,CH2,Start,Increment
Sequence,Volt,Volt,-0.0115600000,0.0000010000
0,0.640000,-0.013200,,
1,0.560000,-0.010400,,
2,0.640000,-0.010800,,
3,0.640000,-0.010400,,
4,0.640000,-0.011600,,
5,0.560000,-0.010400,,
6,0.560000,-0.010800,,
7,0.640000,-0.012000,,
8,0.560000,-0.010800,,
9,0.560000,-0.010800,,
10,0.560000,-0.010400,,
11,0.560000,-0.009600,,
12,0.560000,-0.009600,,
13,0.560000,-0.012800,,
14,0.560000,-0.011600,,
15,0.560000,-0.010800,,
16,0.560000,-0.011600,,
17,0.560000,-0.012800,,
18,0.560000,-0.012000,,
19,0.560000,-0.011600,,
20,0.560000,-0.013200,,
21,0.560000,-0.012800,,
22,0.560000,-0.014000,,
23,0.560000,-0.013200,,
24,0.560000,-0.012000,,
25,0.560000,-0.011600,,
26,0.560000,-0.012000,,
27,0.560000,-0.014000,,
28,0.560000,-0.012000,,
29,0.560000,-0.012000,,
30,0.560000,-0.014000,,
31,0.560000,-0.014000,,
32,0.560000,-0.012000,,
33,0.560000,-0.012000,,
34,0.560000,-0.014000,,
35,0.560000,-0.013200,,
36,0.560000,-0.012800,,
37,0.560000,-0.012000,,
38,0.560000,-0.012000,,
39,0.560000,-0.012000,,
40,0.560000,-0.010800,,
41,0.560000,-0.010800,,
42,0.560000,-0.011600,,
43,0.560000,-0.012000,,
44,0.560000,-0.012000,,
45,0.560000,-0.013200,,
46,0.560000,-0.011600,,
47,0.560000,-0.011600,,
48,0.560000,-0.014400,,
49,0.560000,-0.012000,,
50,0.560000,-0.010800,,
51,0.560000,-0.013200,,
52,0.560000,-0.014400,,
53,0.560000,-0.012000,,
54,0.560000,-0.012800,,
55,0.560000,-0.012800,,
56,0.560000,-0.011600,,
57,0.560000,-0.013200,,
58,0.560000,-0.013200,,
59,0.560000,-0.013200,,
60,0.560000,-0.012800,,
61,0.560000,-0.014400,,
62,0.560000,-0.013200,,
63,0.560000,-0.011600,,
64,0.560000,-0.010800,,
65,0.560000,-0.012800,,
66,0.560000,-0.012800,,
67,0.560000,-0.011600,,
68,0.560000,-0.011600,,
69,0.560000,-0.011600,,
70,0.560000,-0.012800,,
71,0.560000,-0.011600,,
72,0.560000,-0.010400,,
73,0.560000,-0.011600,,
74,0.560000,-0.012000,,
75,0.560000,-0.014000,,
76,0.560000,-0.011600,,
77,0.560000,-0.011600,,
78,0.560000,-0.012800,,
79,0.560000,-0.012000,,
80,0.560000,-0.012800,,
81,0.560000,-0.012000,,
82,0.560000,-0.014400,,
83,0.560000,-0.015600,,
84,0.560000,-0.013200,,
85,0.560000,-0.013200,,
86,0.560000,-0.014000,,
87,0.560000,-0.013200,,
88,0.560000,-0.012800,,
89,0.560000,-0.014000,,
90,0.560000,-0.012800,,
91,0.400000,-0.012800,,
92,0.400000,-0.014000,,
93,0.560000,-0.011600,,
94,0.560000,-0.010400,,
95,0.560000,-0.011600,,
96,0.400000,-0.012000,,
97,0.400000,-0.013200,,
98,0.400000,-0.010800,,
99,0.400000,-0.011600,,
100,0.400000,-0.014000,,
101,0.400000,-0.010800,,
102,0.400000,-0.009600,,
103,0.400000,-0.012000,,
104,0.400000,-0.012800,,
105,0.400000,-0.012000,,
106,0.400000,-0.014000,,
107,0.400000,-0.013200,,
108,0.400000,-0.012800,,
109,0.400000,-0.014400,,
110,0.400000,-0.012800,,
111,0.400000,-0.013200,,
112,0.400000,-0.014000,,
113,0.400000,-0.014400,,
114,0.400000,-0.014400,,
115,0.400000,-0.012000,,
116,0.400000,-0.014000,,
117,0.400000,-0.013200,,
118,0.400000,-0.012000,,
119,0.400000,-0.011600,,
120,0.400000,-0.011600,,
121,0.400000,-0.014000,,
122,0.400000,-0.012800,,
123,0.400000,-0.012000,,
124,0.400000,-0.013200,,
125,0.400000,-0.011600,,
126,0.400000,-0.012800,,
127,0.400000,-0.011600,,
128,0.400000,-0.011600,,
129,0.400000,-0.012800,,
130,0.400000,-0.014400,,
131,0.400000,-0.012000,,
132,0.400000,-0.012000,,
133,0.400000,-0.014000,,
134,0.400000,-0.014000,,
135,0.400000,-0.014400,,
136,0.400000,-0.015200,,
137,0.400000,-0.016800,,
138,0.400000,-0.015200,,
139,0.400000,-0.015200,,
140,0.400000,-0.015600,,
141,0.400000,-0.013200,,
142,0.400000,-0.015600,,
143,0.400000,-0.014400,,
144,0.400000,-0.013200,,
145,0.400000,-0.014400,,
146,0.400000,-0.013200,,
147,0.400000,-0.013200,,
148,0.400000,-0.014000,,
149,0.400000,-0.013200,,
150,0.400000,-0.014000,,
151,0.400000,-0.017600,,
152,0.400000,-0.014000,,
153,0.400000,-0.014000,,
154,0.400000,-0.014000,,
155,0.400000,-0.014000,,
156,0.400000,-0.012000,,
157,0.400000,-0.012800,,
158,0.400000,-0.014400,,
159,0.400000,-0.014000,,
160,0.400000,-0.013200,,
161,0.400000,-0.015200,,
162,0.400000,-0.015600,,
163,0.400000,-0.012800,,
164,0.400000,-0.014400,,
165,0.400000,-0.015200,,
166,0.400000,-0.014400,,
167,0.400000,-0.015600,,
168,0.400000,-0.014400,,
169,0.400000,-0.016400,,
170,0.400000,-0.014400,,
171,0.400000,-0.014000,,
172,0.400000,-0.015200,,
173,0.400000,-0.015200,,
174,0.400000,-0.015200,,
175,0.400000,-0.015600,,
176,0.400000,-0.015200,,
177,0.400000,-0.014400,,
178,0.400000,-0.015200,,
179,0.320000,-0.013200,,
180,0.400000,-0.013200,,
181,0.400000,-0.012000,,
182,0.320000,-0.014400,,
183,0.400000,-0.012800,,
184,0.320000,-0.010800,,
185,0.320000,-0.012800,,
186,0.320000,-0.012000,,
187,0.320000,-0.012800,,
188,0.320000,-0.014000,,
189,0.320000,-0.012800,,
190,0.320000,-0.014000,,
191,0.320000,-0.014400,,
192,0.320000,-0.015200,,
193,0.320000,-0.012800,,
194,0.320000,-0.012800,,
195,0.320000,-0.014400,,
196,0.320000,-0.014000,,
197,0.320000,-0.012000,,
198,0.320000,-0.015200,,
199,0.320000,-0.016400,,
200,0.320000,-0.013200,,
201,0.320000,-0.015600,,
202,0.320000,-0.014000,,
203,0.320000,-0.013200,,
204,0.320000,-0.014400,,
205,0.320000,-0.015600,,
206,0.320000,-0.014400,,
207,0.320000,-0.013200,,
208,0.320000,-0.013200,,
209,0.320000,-0.014400,,
210,0.320000,-0.012000,,
211,0.320000,-0.010800,,
212,0.320000,-0.014400,,
213,0.320000,-0.014000,,
214,0.320000,-0.012800,,
215,0.320000,-0.013200,,
216,0.320000,-0.014400,,
217,0.320000,-0.013200,,
218,0.320000,-0.014000,,
219,0.320000,-0.013200,,
220,0.320000,-0.014400,,
221,0.320000,-0.015200,,
222,0.320000,-0.015600,,
223,0.320000,-0.014400,,
224,0.320000,-0.014400,,
225,0.320000,-0.015200,,
226,0.320000,-0.016800,,
227,0.320000,-0.016400,,
228,0.320000,-0.015200,,
229,0.320000,-0.017600,,
230,0.320000,-0.016400,,
231,0.320000,-0.015600,,
232,0.320000,-0.014400,,
233,0.320000,-0.014400,,
234,0.320000,-0.014400,,
235,0.320000,-0.014400,,
236,0.320000,-0.014400,,
237,0.320000,-0.014000,,
238,0.320000,-0.014000,,
239,0.320000,-0.014400,,
240,0.320000,-0.014400,,
241,0.320000,-0.011600,,
242,0.320000,-0.014400,,
243,0.320000,-0.015600,,
244,0.320000,-0.014000,,
245,0.320000,-0.015600,,
246,0.320000,-0.014400,,
247,0.320000,-0.014400,,
248,0.320000,-0.014400,,
249,0.320000,-0.015200,,
250,0.320000,-0.014000,,
251,0.320000,-0.016400,,
252,0.320000,-0.017600,,
253,0.320000,-0.016800,,
254,0.320000,-0.016400,,
255,0.320000,-0.015200,,
256,0.320000,-0.016800,,
257,0.320000,-0.016400,,
258,0.320000,-0.015200,,
259,0.320000,-0.016400,,
260,0.320000,-0.017600,,
261,0.320000,-0.016400,,
262,0.320000,-0.014000,,
263,0.320000,-0.015200,,
264,0.320000,-0.014400,,
265,0.320000,-0.015200,,
266,0.320000,-0.014400,,
267,0.320000,-0.015200,,
268,0.320000,-0.015200,,
269,0.160000,-0.014000,,
270,0.160000,-0.015600,,
271,0.160000,-0.013200,,
272,0.160000,-0.014400,,
273,0.160000,-0.016400,,
274,0.160000,-0.014400,,
275,0.160000,-0.014400,,
276,0.320000,-0.016400,,
277,0.160000,-0.016400,,
278,0.160000,-0.014400,,
279,0.160000,-0.015200,,
280,0.160000,-0.017600,,
281,0.160000,-0.015200,,
282,0.160000,-0.016400,,
283,0.160000,-0.015600,,
284,0.160000,-0.016400,,
285,0.160000,-0.016800,,
286,0.160000,-0.015200,,
287,0.160000,-0.015200,,
288,0.160000,-0.017600,,
289,0.160000,-0.014400,,
290,0.160000,-0.015600,,
291,0.160000,-0.017600,,
292,0.160000,-0.015600,,
293,0.160000,-0.014400,,
294,0.160000,-0.014000,,
295,0.160000,-0.014400,,
296,0.160000,-0.014000,,
297,0.160000,-0.015600,,
298,0.160000,-0.014400,,
299,0.160000,-0.014400,,
300,0.160000,-0.015600,,
301,0.160000,-0.014000,,
302,0.160000,-0.014400,,
303,0.160000,-0.014000,,
304,0.160000,-0.016400,,
305,0.160000,-0.015600,,
306,0.160000,-0.014400,,
307,0.160000,-0.018000,,
308,0.160000,-0.015600,,
309,0.160000,-0.014400,,
310,0.160000,-0.016400,,
311,0.160000,-0.017600,,
312,0.160000,-0.016400,,
313,0.160000,-0.016400,,
314,0.160000,-0.018800,,
315,0.160000,-0.016800,,
316,0.160000,-0.017600,,
317,0.160000,-0.016800,,
318,0.160000,-0.016400,,
319,0.160000,-0.016800,,
320,0.160000,-0.016800,,
321,0.160000,-0.017600,,
322,0.160000,-0.015200,,
323,0.160000,-0.016400,,
324,0.160000,-0.016800,,
325,0.160000,-0.014000,,
326,0.160000,-0.014000,,
327,0.160000,-0.016800,,
328,0.160000,-0.016800,,
329,0.160000,-0.014400,,
330,0.160000,-0.016400,,
331,0.160000,-0.015600,,
332,0.160000,-0.015200,,
333,0.160000,-0.014400,,
334,0.160000,-0.014400,,
335,0.160000,-0.015200,,
336,0.160000,-0.016400,,
337,0.160000,-0.016400,,
338,0.160000,-0.015600,,
339,0.160000,-0.016800,,
340,0.160000,-0.016400,,
341,0.160000,-0.017600,,
342,0.160000,-0.018000,,
343,0.160000,-0.016400,,
344,0.160000,-0.016800,,
345,0.160000,-0.017600,,
346,0.160000,-0.016400,,
347,0.160000,-0.014000,,
348,0.160000,-0.015200,,
349,0.160000,-0.015600,,
350,0.160000,-0.016400,,
351,0.160000,-0.014400,,
352,0.160000,-0.016400,,
353,0.160000,-0.016400,,
354,0.080000,-0.014400,,
355,0.080000,-0.016400,,
356,0.080000,-0.014400,,
357,0.080000,-0.014000,,
358,0.080000,-0.015600,,
359,0.080000,-0.015600,,
360,0.080000,-0.014000,,
361,0.080000,-0.015200,,
362,0.080000,-0.016400,,
363,0.080000,-0.014400,,
364,0.080000,-0.016400,,
365,0.080000,-0.015200,,
366,0.080000,-0.016400,,
367,0.080000,-0.018800,,
368,0.080000,-0.016800,,
369,0.080000,-0.016400,,
370,0.080000,-0.016400,,
371,0.080000,-0.017600,,
372,0.080000,-0.016800,,
373,0.080000,-0.016400,,
374,0.080000,-0.015600,,
375,0.080000,-0.018800,,
376,0.080000,-0.018000,,
377,0.080000,-0.016400,,
378,0.080000,-0.016400,,
379,0.080000,-0.016400,,
380,0.080000,-0.017600,,
381,0.080000,-0.016800,,
382,0.080000,-0.018000,,
383,0.080000,-0.015600,,
384,0.080000,-0.015600,,
385,0.080000,-0.016800,,
386,0.080000,-0.015600,,
387,0.080000,-0.014400,,
388,0.080000,-0.016800,,
389,0.080000,-0.018000,,
390,0.080000,-0.016800,,
391,0.080000,-0.017600,,
392,0.080000,-0.016400,,
393,0.080000,-0.018000,,
394,0.080000,-0.016400,,
395,0.080000,-0.016400,,
396,0.080000,-0.018000,,
397,0.080000,-0.017600,,
398,0.080000,-0.017600,,
399,0.080000,-0.017600,,
400,0.080000,-0.016800,,
401,0.080000,-0.016400,,
402,0.080000,-0.018000,,
403,0.080000,-0.015200,,
404,0.080000,-0.016800,,
405,0.080000,-0.017600,,
406,0.080000,-0.015200,,
407,0.080000,-0.015600,,
408,0.080000,-0.015200,,
409,0.080000,-0.015200,,
410,0.080000,-0.015200,,
411,0.080000,-0.015600,,
412,0.080000,-0.015600,,
413,0.080000,-0.017600,,
414,0.080000,-0.015200,,
415,0.080000,-0.015200,,
416,0.080000,-0.016800,,
417,0.080000,-0.015600,,
418,0.080000,-0.015200,,
419,0.080000,-0.016400,,
420,0.080000,-0.016800,,
421,0.080000,-0.016400,,
422,0.080000,-0.017600,,
423,0.080000,-0.016400,,
424,0.080000,-0.016400,,
425,0.080000,-0.018800,,
426,0.080000,-0.017600,,
427,0.080000,-0.018800,,
428,0.080000,-0.018000,,
429,0.080000,-0.018000,,
430,0.080000,-0.017600,,
431,0.080000,-0.015600,,
432,0.080000,-0.017600,,
433,0.080000,-0.017600,,
434,0.080000,-0.016800,,
435,0.080000,-0.016400,,
436,0.080000,-0.018000,,
437,0.080000,-0.017600,,
438,-0.080000,-0.015600,,
439,-0.080000,-0.015200,,
440,-0.080000,-0.016800,,
441,-0.080000,-0.016800,,
442,-0.080000,-0.015200,,
443,-0.080000,-0.016800,,
444,-0.080000,-0.016800,,
445,-0.080000,-0.015600,,
446,-0.080000,-0.016800,,
447,-0.080000,-0.016400,,
448,-0.080000,-0.015600,,
449,-0.080000,-0.017600,,
450,-0.080000,-0.020000,,
451,-0.080000,-0.016800,,
452,-0.080000,-0.018800,,
453,-0.080000,-0.018800,,
454,-0.080000,-0.017600,,
455,-0.080000,-0.018000,,
456,-0.080000,-0.017600,,
457,-0.080000,-0.018800,,
458,-0.080000,-0.018800,,
459,-0.080000,-0.018800,,
460,-0.080000,-0.015600,,
461,-0.080000,-0.018000,,
462,-0.080000,-0.017600,,
463,-0.080000,-0.016800,,
464,-0.080000,-0.017600,,
465,-0.080000,-0.016400,,
466,-0.080000,-0.017600,,
467,-0.080000,-0.016800,,
468,-0.080000,-0.014400,,
469,-0.080000,-0.015200,,
470,-0.080000,-0.016400,,
471,-0.080000,-0.016800,,
472,-0.080000,-0.015600,,
473,-0.080000,-0.017600,,
474,-0.080000,-0.016800,,
475,-0.080000,-0.018000,,
476,-0.080000,-0.015600,,
477,-0.080000,-0.015600,,
478,-0.080000,-0.018000,,
479,-0.080000,-0.017600,,
480,-0.080000,-0.018000,,
481,-0.080000,-0.019200,,
482,-0.080000,-0.018000,,
483,-0.080000,-0.018000,,
484,-0.080000,-0.019200,,
485,-0.080000,-0.018800,,
486,-0.080000,-0.016800,,
487,-0.080000,-0.020400,,
488,-0.080000,-0.018000,,
489,-0.080000,-0.016800,,
490,-0.080000,-0.018000,,
491,-0.080000,-0.016400,,
492,-0.080000,-0.016400,,
493,-0.080000,-0.016400,,
494,-0.080000,-0.016400,,
495,-0.080000,-0.017600,,
496,-0.080000,-0.017600,,
497,-0.080000,-0.015200,,
498,-0.080000,-0.016400,,
499,-0.080000,-0.017600,,
500,-0.080000,-0.015200,,
501,-0.080000,-0.018800,,
502,-0.080000,-0.017600,,
503,-0.080000,-0.016800,,
504,-0.080000,-0.018000,,
505,-0.080000,-0.017600,,
506,-0.080000,-0.016800,,
507,-0.080000,-0.019200,,
508,-0.080000,-0.020000,,
509,-0.080000,-0.017600,,
510,-0.080000,-0.020400,,
511,-0.080000,-0.020000,,
512,-0.080000,-0.019200,,
513,-0.080000,-0.017600,,
514,-0.080000,-0.018800,,
515,-0.080000,-0.018800,,
516,-0.080000,-0.019200,,
