X,CH1,CH2,Start,Increment,,Max,Min,Amp
Sequence,Volt,Volt,-0.0115600000,0.0000010000,,0.047200,-0.0516,0.049399999999999999
164,0.640000,-0.010400,,,,,,
165,0.640000,-0.011600,,,,,,
166,0.640000,-0.012800,,,,,,
167,0.640000,-0.010400,,,,,,
168,0.640000,-0.013200,,,,,,
169,0.640000,-0.013200,,,,,,
170,0.640000,-0.011600,,,,,,
171,0.640000,-0.010400,,,,,,
172,0.640000,-0.008400,,,,,,
173,0.640000,-0.010800,,,,,,
174,0.640000,-0.010800,,,,,,
175,0.640000,-0.010400,,,,,,
176,0.640000,-0.010400,,,,,,
177,0.640000,-0.009600,,,,,,
178,0.640000,-0.010800,,,,,,
179,0.640000,-0.009600,,,,,,
180,0.640000,-0.008400,,,,,,
181,0.640000,-0.011600,,,,,,
182,0.640000,-0.012800,,,,,,
183,0.640000,-0.010800,,,,,,
184,0.640000,-0.010800,,,,,,
185,0.640000,-0.008400,,,,,,
186,0.640000,-0.011600,,,,,,
187,0.640000,-0.011600,,,,,,
188,0.640000,-0.009200,,,,,,
189,0.640000,-0.011600,,,,,,
190,0.640000,-0.010800,,,,,,
191,0.640000,-0.012000,,,,,,
192,0.640000,-0.011600,,,,,,
193,0.640000,-0.012000,,,,,,
194,0.640000,-0.014000,,,,,,
195,0.640000,-0.015600,,,,,,
196,0.640000,-0.012800,,,,,,
197,0.640000,-0.011600,,,,,,
198,0.640000,-0.012800,,,,,,
199,0.640000,-0.012000,,,,,,
200,0.640000,-0.014000,,,,,,
201,0.640000,-0.012000,,,,,,
202,0.640000,-0.012800,,,,,,
203,0.640000,-0.012000,,,,,,
204,0.640000,-0.013200,,,,,,
205,0.640000,-0.014000,,,,,,
206,0.640000,-0.012000,,,,,,
207,0.640000,-0.014400,,,,,,
208,0.640000,-0.014400,,,,,,
209,0.640000,-0.012000,,,,,,
210,0.640000,-0.011600,,,,,,
211,0.640000,-0.013200,,,,,,
212,0.640000,-0.010800,,,,,,
213,0.640000,-0.014000,,,,,,
214,0.640000,-0.014000,,,,,,
215,0.560000,-0.014000,,,,,,
216,0.640000,-0.014400,,,,,,
217,0.560000,-0.012800,,,,,,
218,0.560000,-0.015200,,,,,,
219,0.560000,-0.015200,,,,,,
220,0.560000,-0.014400,,,,,,
221,0.560000,-0.013200,,,,,,
222,0.560000,-0.014400,,,,,,
223,0.560000,-0.014400,,,,,,
224,0.560000,-0.013200,,,,,,
225,0.560000,-0.014000,,,,,,
226,0.560000,-0.014400,,,,,,
227,0.560000,-0.016400,,,,,,
228,0.560000,-0.015600,,,,,,
229,0.560000,-0.014400,,,,,,
230,0.560000,-0.014000,,,,,,
231,0.560000,-0.016800,,,,,,
232,0.560000,-0.016400,,,,,,
233,0.560000,-0.014400,,,,,,
234,0.560000,-0.015200,,,,,,
235,0.560000,-0.014400,,,,,,
236,0.560000,-0.014400,,,,,,
237,0.560000,-0.013200,,,,,,
