X,CH1,CH2,Start,Increment,,Max,Min,Amp
Sequence,Volt,Volt,-0.0115600000,0.0000010000,,0.014800,-0.0156,0.015200000000000000
0,0.560000,-0.008400,,,,,,
1,0.560000,-0.006000,,,,,,
2,0.560000,-0.006800,,,,,,
3,0.560000,-0.006000,,,,,,
4,0.560000,-0.008400,,,,,,
5,0.560000,-0.008000,,,,,,
6,0.560000,-0.007200,,,,,,
7,0.560000,-0.007200,,,,,,
8,0.560000,-0.005600,,,,,,
9,0.560000,-0.008000,,,,,,
10,0.560000,-0.005600,,,,,,
11,0.560000,-0.006000,,,,,,
12,0.560000,-0.008400,,,,,,
13,0.560000,-0.009200,,,,,,
14,0.560000,-0.007200,,,,,,
15,0.560000,-0.005600,,,,,,
16,0.560000,-0.006000,,,,,,
17,0.560000,-0.006800,,,,,,
18,0.560000,-0.008400,,,,,,
19,0.560000,-0.007200,,,,,,
20,0.560000,-0.008000,,,,,,
21,0.560000,-0.007200,,,,,,
22,0.560000,-0.006000,,,,,,
23,0.560000,-0.008400,,,,,,
24,0.560000,-0.006800,,,,,,
25,0.560000,-0.004800,,,,,,
26,0.560000,-0.006800,,,,,,
27,0.560000,-0.008400,,,,,,
28,0.560000,-0.006000,,,,,,
29,0.560000,-0.007200,,,,,,
30,0.560000,-0.004800,,,,,,
31,0.560000,-0.006000,,,,,,
32,0.560000,-0.007200,,,,,,
33,0.560000,-0.006800,,,,,,
34,0.560000,-0.008400,,,,,,
35,0.560000,-0.005600,,,,,,
36,0.400000,-0.005600,,,,,,
37,0.560000,-0.007200,,,,,,
38,0.400000,-0.008400,,,,,,
39,0.400000,-0.004800,,,,,,
40,0.560000,-0.006800,,,,,,
41,0.560000,-0.008000,,,,,,
42,0.400000,-0.006800,,,,,,
43,0.400000,-0.008000,,,,,,
44,0.400000,-0.005600,,,,,,
45,0.400000,-0.006800,,,,,,
46,0.400000,-0.007200,,,,,,
47,0.400000,-0.007200,,,,,,
48,0.400000,-0.008000,,,,,,
49,0.400000,-0.007200,,,,,,
50,0.400000,-0.006800,,,,,,
51,0.400000,-0.008000,,,,,,
52,0.400000,-0.010400,,,,,,
53,0.400000,-0.006800,,,,,,
54,0.400000,-0.007200,,,,,,
55,0.400000,-0.008000,,,,,,
56,0.400000,-0.008400,,,,,,
57,0.400000,-0.007200,,,,,,
58,0.400000,-0.008000,,,,,,
59,0.400000,-0.007200,,,,,,
60,0.400000,-0.008400,,,,,,
61,0.400000,-0.008400,,,,,,
62,0.400000,-0.008000,,,,,,
63,0.400000,-0.007200,,,,,,
64,0.400000,-0.005600,,,,,,
65,0.400000,-0.006800,,,,,,
66,0.400000,-0.008000,,,,,,
67,0.400000,-0.008400,,,,,,
68,0.400000,-0.005600,,,,,,
69,0.400000,-0.005600,,,,,,
70,0.400000,-0.006000,,,,,,
71,0.400000,-0.008000,,,,,,
72,0.400000,-0.006000,,,,,,
73,0.400000,-0.007200,,,,,,
74,0.400000,-0.007200,,,,,,
75,0.400000,-0.004800,,,,,,
76,0.400000,-0.006000,,,,,,
77,0.400000,-0.004800,,,,,,
78,0.400000,-0.004800,,,,,,
79,0.400000,-0.003600,,,,,,
80,0.400000,-0.007200,,,,,,
81,0.400000,-0.005600,,,,,,
82,0.400000,-0.004800,,,,,,
83,0.400000,-0.003200,,,,,,
84,0.400000,-0.004400,,,,,,
85,0.400000,-0.006800,,,,,,
86,0.400000,-0.006000,,,,,,
87,0.400000,-0.006000,,,,,,
88,0.400000,-0.006800,,,,,,
89,0.400000,-0.006800,,,,,,
90,0.400000,-0.004800,,,,,,
91,0.400000,-0.006800,,,,,,
92,0.400000,-0.005600,,,,,,
93,0.400000,-0.005600,,,,,,
94,0.400000,-0.006800,,,,,,
95,0.400000,-0.008400,,,,,,
96,0.400000,-0.006000,,,,,,
97,0.400000,-0.005600,,,,,,
98,0.400000,-0.004800,,,,,,
99,0.400000,-0.006000,,,,,,
100,0.400000,-0.006000,,,,,,
101,0.400000,-0.006800,,,,,,
102,0.400000,-0.006800,,,,,,
103,0.400000,-0.005600,,,,,,
104,0.400000,-0.006000,,,,,,
105,0.400000,-0.006000,,,,,,
106,0.400000,-0.007200,,,,,,
107,0.400000,-0.005600,,,,,,
108,0.400000,-0.006800,,,,,,
109,0.400000,-0.007200,,,,,,
110,0.400000,-0.008400,,,,,,
111,0.400000,-0.004800,,,,,,
112,0.400000,-0.004800,,,,,,
113,0.400000,-0.008000,,,,,,
114,0.400000,-0.006800,,,,,,
115,0.400000,-0.005600,,,,,,
116,0.400000,-0.005600,,,,,,
117,0.400000,-0.005600,,,,,,
118,0.400000,-0.004800,,,,,,
119,0.400000,-0.006800,,,,,,
120,0.400000,-0.005600,,,,,,
121,0.400000,-0.005600,,,,,,
122,0.400000,-0.005600,,,,,,
123,0.400000,-0.005600,,,,,,
124,0.400000,-0.004400,,,,,,
125,0.400000,-0.004800,,,,,,
126,0.400000,-0.003600,,,,,,
127,0.400000,-0.008000,,,,,,
128,0.400000,-0.008000,,,,,,
129,0.400000,-0.004800,,,,,,
130,0.400000,-0.004400,,,,,,
131,0.400000,-0.006800,,,,,,
132,0.400000,-0.006000,,,,,,
133,0.400000,-0.006800,,,,,,
134,0.400000,-0.007200,,,,,,
135,0.400000,-0.006800,,,,,,
136,0.400000,-0.008000,,,,,,
137,0.320000,-0.006800,,,,,,
138,0.400000,-0.006000,,,,,,
139,0.400000,-0.004800,,,,,,
140,0.400000,-0.006800,,,,,,
141,0.320000,-0.007200,,,,,,
142,0.320000,-0.009200,,,,,,
143,0.320000,-0.007200,,,,,,
144,0.320000,-0.003600,,,,,,
145,0.320000,-0.006800,,,,,,
146,0.320000,-0.006800,,,,,,
147,0.320000,-0.006000,,,,,,
148,0.320000,-0.006000,,,,,,
149,0.320000,-0.007200,,,,,,
150,0.320000,-0.006800,,,,,,
151,0.320000,-0.006800,,,,,,
152,0.320000,-0.006000,,,,,,
153,0.320000,-0.004800,,,,,,
154,0.320000,-0.007200,,,,,,
155,0.320000,-0.006800,,,,,,
156,0.320000,-0.009200,,,,,,
157,0.320000,-0.007200,,,,,,
158,0.320000,-0.006000,,,,,,
159,0.320000,-0.006800,,,,,,
160,0.320000,-0.008400,,,,,,
161,0.320000,-0.006800,,,,,,
162,0.320000,-0.007200,,,,,,
163,0.320000,-0.009200,,,,,,
164,0.320000,-0.007200,,,,,,
165,0.320000,-0.008000,,,,,,
166,0.320000,-0.006000,,,,,,
167,0.320000,-0.008000,,,,,,
168,0.320000,-0.009200,,,,,,
169,0.320000,-0.008400,,,,,,
170,0.320000,-0.008000,,,,,,
171,0.320000,-0.007200,,,,,,
172,0.320000,-0.008000,,,,,,
173,0.320000,-0.006800,,,,,,
174,0.320000,-0.008000,,,,,,
175,0.320000,-0.008000,,,,,,
176,0.320000,-0.007200,,,,,,
177,0.320000,-0.009200,,,,,,
178,0.320000,-0.007200,,,,,,
179,0.320000,-0.006000,,,,,,
180,0.320000,-0.007200,,,,,,
181,0.320000,-0.007200,,,,,,
182,0.320000,-0.008400,,,,,,
183,0.320000,-0.006800,,,,,,
184,0.320000,-0.007200,,,,,,
185,0.320000,-0.008000,,,,,,
186,0.320000,-0.007200,,,,,,
187,0.320000,-0.006000,,,,,,
188,0.320000,-0.006000,,,,,,
189,0.320000,-0.009200,,,,,,
190,0.320000,-0.006000,,,,,,
191,0.320000,-0.005600,,,,,,
192,0.320000,-0.005600,,,,,,
193,0.320000,-0.006800,,,,,,
194,0.320000,-0.006000,,,,,,
195,0.320000,-0.005600,,,,,,
196,0.320000,-0.008000,,,,,,
197,0.320000,-0.008000,,,,,,
198,0.320000,-0.005600,,,,,,
199,0.320000,-0.003600,,,,,,
200,0.320000,-0.005600,,,,,,
201,0.320000,-0.006000,,,,,,
202,0.320000,-0.005600,,,,,,
203,0.320000,-0.006000,,,,,,
204,0.320000,-0.004800,,,,,,
205,0.320000,-0.006000,,,,,,
206,0.320000,-0.004400,,,,,,
207,0.320000,-0.004400,,,,,,
208,0.320000,-0.007200,,,,,,
209,0.320000,-0.007200,,,,,,
210,0.320000,-0.007200,,,,,,
211,0.320000,-0.006800,,,,,,
212,0.320000,-0.004800,,,,,,
213,0.320000,-0.006000,,,,,,
214,0.320000,-0.005600,,,,,,
215,0.320000,-0.006000,,,,,,
216,0.320000,-0.006800,,,,,,
217,0.320000,-0.008000,,,,,,
218,0.320000,-0.008400,,,,,,
219,0.320000,-0.004800,,,,,,
220,0.320000,-0.007200,,,,,,
221,0.320000,-0.006000,,,,,,
222,0.320000,-0.007200,,,,,,
223,0.320000,-0.007200,,,,,,
224,0.320000,-0.006800,,,,,,
225,0.320000,-0.008400,,,,,,
226,0.320000,-0.004800,,,,,,
227,0.320000,-0.004400,,,,,,
228,0.320000,-0.005600,,,,,,
229,0.320000,-0.006000,,,,,,
230,0.160000,-0.007200,,,,,,
231,0.320000,-0.008000,,,,,,
232,0.320000,-0.007200,,,,,,
233,0.160000,-0.005600,,,,,,
234,0.320000,-0.006800,,,,,,
235,0.320000,-0.006000,,,,,,
236,0.160000,-0.005600,,,,,,
237,0.160000,-0.008000,,,,,,
238,0.320000,-0.007200,,,,,,
239,0.160000,-0.006800,,,,,,
240,0.160000,-0.008000,,,,,,
241,0.320000,-0.005600,,,,,,
242,0.160000,-0.008400,,,,,,
243,0.160000,-0.008400,,,,,,
244,0.160000,-0.006800,,,,,,
245,0.160000,-0.009200,,,,,,
246,0.160000,-0.008400,,,,,,
247,0.160000,-0.006800,,,,,,
248,0.160000,-0.006000,,,,,,
249,0.160000,-0.009200,,,,,,
250,0.160000,-0.008400,,,,,,
251,0.160000,-0.007200,,,,,,
252,0.160000,-0.009200,,,,,,
253,0.160000,-0.008000,,,,,,
254,0.160000,-0.008400,,,,,,
255,0.160000,-0.007200,,,,,,
256,0.160000,-0.007200,,,,,,
257,0.160000,-0.010800,,,,,,
258,0.160000,-0.009600,,,,,,
259,0.160000,-0.007200,,,,,,
260,0.160000,-0.008400,,,,,,
261,0.160000,-0.010400,,,,,,
262,0.160000,-0.006800,,,,,,
263,0.160000,-0.008400,,,,,,
264,0.160000,-0.008400,,,,,,
265,0.160000,-0.009200,,,,,,
266,0.160000,-0.009200,,,,,,
267,0.160000,-0.006800,,,,,,
268,0.160000,-0.008000,,,,,,
269,0.160000,-0.008000,,,,,,
270,0.160000,-0.008400,,,,,,
271,0.160000,-0.008000,,,,,,
272,0.160000,-0.008400,,,,,,
273,0.160000,-0.007200,,,,,,
274,0.160000,-0.006800,,,,,,
275,0.160000,-0.008400,,,,,,
276,0.160000,-0.005600,,,,,,
277,0.160000,-0.008000,,,,,,
278,0.160000,-0.009600,,,,,,
279,0.160000,-0.008000,,,,,,
280,0.160000,-0.005600,,,,,,
281,0.160000,-0.006000,,,,,,
