X,CH1,CH2,Start,Increment,
Sequence,Volt,Volt,-1.156000e-02,8.000000e-07
0,1.12e+00,-2.40e-03,
1,1.12e+00,-2.00e-03,
2,1.12e+00,-1.20e-03,
3,1.12e+00,-1.20e-03,
4,1.04e+00,-2.40e-03,
5,1.12e+00,-3.20e-03,
6,1.12e+00,-2.00e-03,
7,1.12e+00,-2.40e-03,
8,1.04e+00,-4.40e-03,
9,1.04e+00,-3.60e-03,
10,1.12e+00,-1.20e-03,
11,1.04e+00,-3.20e-03,
12,1.12e+00,-2.40e-03,
13,1.04e+00,-2.40e-03,
14,1.04e+00,-3.20e-03,
15,1.04e+00,-2.00e-03,
16,1.04e+00,-2.00e-03,
17,1.04e+00,-2.40e-03,
18,1.04e+00,-4.40e-03,
19,1.04e+00,-4.80e-03,
20,1.04e+00,-3.20e-03,
21,1.04e+00,-2.40e-03,
22,1.04e+00,-3.60e-03,
23,1.04e+00,-2.40e-03,
24,1.04e+00,-3.60e-03,
25,1.04e+00,-2.00e-03,
26,1.04e+00,-3.60e-03,
27,1.04e+00,-3.20e-03,
28,1.04e+00,-2.00e-03,
29,1.04e+00,-1.20e-03,
30,1.04e+00,-2.40e-03,
31,1.04e+00,-3.20e-03,
32,1.04e+00,-4.40e-03,
33,1.04e+00,-3.60e-03,
34,1.04e+00,-3.60e-03,
35,1.04e+00,-2.00e-03,
36,1.04e+00,-3.60e-03,
37,1.04e+00,-4.40e-03,
38,1.04e+00,-3.20e-03,
39,1.04e+00,-3.20e-03,
40,1.04e+00,-4.80e-03,
41,1.04e+00,-4.80e-03,
42,1.04e+00,-2.40e-03,
43,1.04e+00,-3.20e-03,
44,1.04e+00,-3.60e-03,
45,1.04e+00,-5.60e-03,
46,1.04e+00,-4.40e-03,
47,1.04e+00,-4.40e-03,
48,1.04e+00,-3.60e-03,
49,1.04e+00,-2.40e-03,
50,1.04e+00,-4.40e-03,
51,1.04e+00,-2.40e-03,
52,1.04e+00,-4.80e-03,
53,1.04e+00,-4.40e-03,
54,1.04e+00,-5.60e-03,
55,1.04e+00,-4.40e-03,
56,1.04e+00,-2.00e-03,
57,1.04e+00,-4.40e-03,
58,1.04e+00,-5.60e-03,
59,1.04e+00,-3.60e-03,
60,1.04e+00,-3.20e-03,
61,1.04e+00,-4.40e-03,
